ticker,name,radar_priority,similar_score,review_action,review_reason,watchlist_row
2414.TW,精技,B研究追蹤,17.52,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"2414.TW,精技,satellite,quality_value,TRUE"
3029.TW,零壹,B研究追蹤,16.37,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"3029.TW,零壹,satellite,quality_value,TRUE"
3033.TW,威健,B研究追蹤,16.14,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"3033.TW,威健,satellite,quality_value,TRUE"
2432.TW,倚天酷碁-創,B研究追蹤,15.88,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"2432.TW,倚天酷碁-創,satellite,quality_value,TRUE"
6146.TWO,耕興,B研究追蹤,14.29,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"6146.TWO,耕興,satellite,quality_value,TRUE"
6435.TWO,大中,B研究追蹤,14.23,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"6435.TWO,大中,satellite,quality_value,TRUE"
3090.TW,日電貿,B研究追蹤,13.89,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"3090.TW,日電貿,satellite,quality_value,TRUE"
3416.TW,融程電,B研究追蹤,13.44,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"3416.TW,融程電,satellite,quality_value,TRUE"
6908.TW,宏碁遊戲-創,B研究追蹤,13.29,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"6908.TW,宏碁遊戲-創,satellite,quality_value,TRUE"
3023.TW,信邦,B研究追蹤,13.28,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"3023.TW,信邦,satellite,quality_value,TRUE"
6799.TW,來頡,B研究追蹤,12.26,hold_for_technical_confirmation,B 級研究追蹤；先等技術面或基本面再確認,"6799.TW,來頡,satellite,quality_value,TRUE"
