ticker,name,first_seen_date,last_seen_date,days_watched,radar_grade,rank,close,ret5_pct,ret10_pct,ret20_pct,volume_ratio20,setup_score,risk_score,spec_risk_label,entry_bias,decision_priority,lifecycle_action,lifecycle_reason,buy_zone_low,buy_zone_high,stop_loss
3213.TWO,茂訊,2026-05-07,2026-05-08,2,,9,115.5,10.53,8.45,12.68,0.09,11,1,正常,分批試單,29.0,promote,技術與品質條件同時達標，可進入試單研究,113.01,115.5,107.4
6292.TWO,迅德,2026-05-07,2026-05-08,2,,13,53.3,18.18,14.13,20.32,1.25,10,4,正常,等拉回,15.5,hold,條件尚未完整，維持觀察,50.11,52.24,44.47
3034.TW,聯詠,2026-05-07,2026-05-08,2,,14,477.0,16.63,17.49,19.4,0.48,10,2,正常,分批試單,24.0,promote,技術與品質條件同時達標，可進入試單研究,462.02,477.0,440.03
3592.TW,瑞鼎,2026-05-07,2026-05-08,2,,16,249.5,6.17,5.5,11.14,0.23,10,1,正常,分批試單,28.0,promote,技術與品質條件同時達標，可進入試單研究,239.4,249.5,224.65
6525.TW,捷敏-KY,2026-05-07,2026-05-08,2,,20,107.5,16.34,17.23,27.82,0.13,9,3,投機偏高,等拉回,14.0,hold,條件尚未完整，維持觀察,100.45,105.15,85.32
2376.TW,技嘉,2026-05-07,2026-05-08,2,,21,315.5,15.57,14.73,25.7,0.29,9,2,正常,等拉回,18.5,hold,條件尚未完整，維持觀察,298.32,309.77,248.12
3088.TWO,艾訊,2026-05-07,2026-05-08,2,,23,123.5,14.35,28.11,44.78,0.03,9,5,疑似炒作風險高,等待降溫,-12.0,cooldown,風險分數或投機標籤過高，先降溫觀察,103.34,108.5,97.07
1560.TW,中砂,2026-05-07,2026-05-08,2,,24,608.0,12.59,16.7,19.69,0.21,9,2,正常,等拉回,14.0,hold,條件尚未完整，維持觀察,562.58,592.86,484.82
3044.TW,健鼎,2026-05-07,2026-05-08,2,,25,496.5,10.7,7.35,31.35,0.04,9,4,投機偏高,等拉回,8.0,hold,條件尚未完整，維持觀察,456.28,483.09,395.48
4966.TWO,譜瑞-KY,2026-05-07,2026-05-08,2,,26,631.0,9.74,5.17,25.95,0.17,9,2,正常,等拉回,12.0,hold,條件尚未完整，維持觀察,581.97,614.66,525.2
6996.TWO,力領科技,2026-05-07,2026-05-08,2,,28,187.5,8.07,9.33,17.76,0.0,9,1,正常,等拉回,24.5,hold,條件尚未完整，維持觀察,178.64,184.55,164.5
8261.TW,富鼎,2026-05-07,2026-05-08,2,,35,126.0,6.33,7.69,16.67,0.05,8,1,正常,等拉回,21.5,hold,條件尚未完整，維持觀察,119.6,122.71,106.4
6161.TWO,捷波,2026-05-07,2026-05-08,2,,38,43.8,5.67,5.8,7.62,0.04,8,0,正常,等拉回,27.0,hold,條件尚未完整，維持觀察,42.25,43.28,40.65
2441.TW,超豐,2026-05-07,2026-05-08,2,,45,93.0,10.71,5.08,-1.06,0.04,7,0,正常,等轉強,21.5,hold,條件尚未完整，維持觀察,91.01,93.66,83.06
2383.TW,台光電,2026-05-07,2026-05-08,2,,47,4805.0,5.72,17.2,49.22,0.07,7,4,投機偏高,等轉強,1.0,hold,條件尚未完整，維持觀察,4226.25,4364.39,3060.67
3556.TWO,禾瑞亞,2026-05-07,2026-05-08,2,,48,52.9,4.96,-0.19,18.21,0.01,7,0,正常,等轉強,24.0,hold,條件尚未完整，維持觀察,51.3,52.81,46.01
4967.TW,十銓,2026-05-07,2026-05-08,2,,49,294.0,4.63,17.6,33.64,0.06,7,4,投機偏高,等轉強,-5.0,hold,條件尚未完整，維持觀察,257.52,267.84,226.56
5490.TWO,同亨,2026-05-07,2026-05-08,2,,50,28.6,4.57,7.52,7.72,0.02,7,1,正常,等轉強,16.0,hold,條件尚未完整，維持觀察,26.94,27.36,25.67
3515.TW,華擎,2026-05-07,2026-05-08,2,,51,245.5,4.25,8.63,16.63,0.04,7,0,正常,等轉強,26.0,hold,條件尚未完整，維持觀察,230.95,234.29,220.93
4995.TWO,晶達,2026-05-07,2026-05-08,2,,52,43.8,3.18,4.16,5.93,0.2,7,1,正常,等轉強,22.0,hold,條件尚未完整，維持觀察,42.79,43.36,41.07
4953.TWO,緯軟,2026-05-07,2026-05-08,2,,53,122.5,2.94,0.41,5.15,0.02,7,0,正常,等轉強,24.0,hold,條件尚未完整，維持觀察,120.67,122.23,116.0
5299.TWO,杰力,2026-05-07,2026-05-08,2,,54,91.0,2.36,7.44,13.47,0.07,7,1,正常,等轉強,15.5,hold,條件尚未完整，維持觀察,86.28,88.13,79.38
2450.TW,神腦,2026-05-07,2026-05-08,2,,56,29.75,0.51,0.0,0.0,0.03,7,1,正常,等轉強,20.5,hold,條件尚未完整，維持觀察,29.91,30.1,29.33
7753.TWO,星亞,2026-05-07,2026-05-08,2,,58,43.3,-1.03,-10.17,8.52,0.02,7,0,正常,等轉強,19.0,hold,條件尚未完整，維持觀察,42.36,43.5,38.94
3158.TWO,嘉實,2026-05-07,2026-05-08,2,,59,89.0,-1.11,-1.22,-2.09,1.35,7,0,正常,等轉強,24.0,hold,條件尚未完整，維持觀察,90.21,90.89,87.25
3679.TW,新至陞,2026-05-07,2026-05-08,2,,60,119.5,-2.05,-1.65,-0.83,1.24,7,1,正常,等轉強,4.0,hold,條件尚未完整，維持觀察,120.42,121.51,117.16
2345.TW,智邦,2026-05-07,2026-05-08,2,,64,2350.0,3.07,12.98,39.05,0.22,6,2,正常,等轉強,2.0,hold,條件尚未完整，維持觀察,2179.5,2257.52,1695.83
2347.TW,聯強,2026-05-07,2026-05-08,2,,65,83.9,1.7,1.94,3.45,0.05,6,1,正常,等轉強,3.0,hold,條件尚未完整，維持觀察,82.7,83.84,76.07
3005.TW,神基,2026-05-07,2026-05-08,2,,66,98.8,1.23,0.82,-1.69,0.01,6,0,正常,等轉強,23.0,hold,條件尚未完整，維持觀察,98.58,99.57,95.62
6510.TWO,精測,2026-05-07,2026-05-08,2,,72,3685.0,7.12,-4.29,8.22,0.03,5,0,正常,等轉強,3.0,hold,條件尚未完整，維持觀察,3693.25,3841.57,3248.29
3008.TW,大立光,2026-05-07,2026-05-08,2,,74,2585.0,2.78,4.02,13.38,0.04,5,0,正常,等轉強,22.0,hold,條件尚未完整，維持觀察,2585.25,2635.27,2385.15
3168.TW,眾福科,2026-05-07,2026-05-08,2,,75,44.6,1.83,1.36,5.19,0.01,5,0,正常,等轉強,5.0,hold,條件尚未完整，維持觀察,44.85,45.44,42.12
2617.TW,台航,2026-05-07,2026-05-08,2,,76,29.65,1.02,0.17,-2.31,0.1,5,0,正常,等轉強,5.0,hold,條件尚未完整，維持觀察,29.95,30.18,29.25
6201.TW,亞弘電,2026-05-07,2026-05-08,2,,77,50.5,0.0,0.4,0.6,0.03,5,0,正常,等轉強,5.0,hold,條件尚未完整，維持觀察,50.69,51.1,49.46
5203.TW,訊連,2026-05-07,2026-05-08,2,,78,65.2,-0.31,2.84,5.33,0.03,5,0,正常,等轉強,15.0,hold,條件尚未完整，維持觀察,64.33,65.22,61.67
5225.TW,東科-KY,2026-05-07,2026-05-08,2,,79,76.0,-0.78,-1.81,-4.4,0.21,5,0,正常,等轉強,5.0,hold,條件尚未完整，維持觀察,77.21,77.92,75.07
6486.TWO,互動,2026-05-07,2026-05-08,2,,80,83.6,-1.3,-3.91,-3.46,0.05,5,0,正常,等轉強,5.0,hold,條件尚未完整，維持觀察,86.64,87.53,83.96
6776.TW,展碁國際,2026-05-07,2026-05-08,2,,86,58.8,3.7,-0.17,-0.51,0.16,3,0,正常,暫不急,15.0,hold,條件尚未完整，維持觀察,59.02,58.8,56.34
2313.TW,華通,2026-05-07,2026-05-08,2,,91,243.0,-0.61,9.21,-13.68,0.06,3,0,正常,暫不急,9.0,hold,條件尚未完整，維持觀察,251.55,243.0,224.07
6751.TWO,智聯服務,2026-05-07,2026-05-08,2,,92,50.5,-2.51,-2.88,-2.7,0.14,3,0,正常,暫不急,15.0,hold,條件尚未完整，維持觀察,51.62,50.5,49.86
5288.TW,豐祥-KY,2026-05-07,2026-05-08,2,,93,152.5,-8.13,-11.34,6.27,0.0,3,0,正常,暫不急,21.0,hold,條件尚未完整，維持觀察,164.45,152.5,153.15
