ticker,name,group,layer,enabled
3057.TW,喬鼎,theme,short_attack,true
2495.TW,普安,theme,short_attack,true
2399.TW,映泰,theme,short_attack,true
2465.TW,麗臺,theme,short_attack,true
5386.TWO,青雲,theme,short_attack,true
3013.TW,晟銘電,theme,short_attack,true
2374.TW,佳能,theme,short_attack,true
3019.TW,亞光,theme,short_attack,true
2388.TW,威盛,theme,short_attack,true
8111.TWO,立碁,theme,short_attack,true
3450.TW,聯鈞,theme,short_attack,true
3324.TWO,雙鴻,theme,short_attack,true
3017.TW,奇鋐,theme,short_attack,true
6669.TW,緯穎,theme,short_attack,true
2382.TW,廣達,theme,short_attack,true
3231.TW,緯創,theme,short_attack,true
2356.TW,英業達,theme,short_attack,true
4919.TW,新唐,theme,short_attack,true
6182.TWO,合晶,theme,short_attack,true
2312.TW,金寶,theme,short_attack,true
5347.TWO,世界,theme,short_attack,true
2330.TW,台積電,core,midlong_core,true
2317.TW,鴻海,core,midlong_core,true
2454.TW,聯發科,core,midlong_core,true
2303.TW,聯電,core,midlong_core,true
2308.TW,台達電,core,midlong_core,true
3711.TW,日月光投控,core,midlong_core,true
2881.TW,富邦金,core,midlong_core,true
2882.TW,國泰金,core,midlong_core,true
2884.TW,玉山金,core,midlong_core,true
2886.TW,兆豐金,core,midlong_core,true
2891.TW,中信金,core,midlong_core,true
2892.TW,第一金,core,midlong_core,true
8064.TWO,東捷,core,midlong_core,true
1301.TW,台塑,core,midlong_core,false
0050.TW,元大台灣50,etf,midlong_core,true
00878.TW,國泰永續高股息,etf,midlong_core,true
0052.TW,富邦科技,etf,midlong_core,true
00631L.TW,元大台灣50正2,etf,short_attack,false
00929.TW,復華台灣科技優息,etf,midlong_core,false
3014.TW,聯陽,satellite,midlong_core,true
3491.TWO,昇達科,satellite,midlong_core,true
3661.TW,世芯-KY,satellite,midlong_core,true
3443.TW,創意,satellite,midlong_core,true
6147.TWO,頎邦,satellite,midlong_core,true
3035.TW,智原,satellite,midlong_core,true
5274.TWO,信驊,satellite,midlong_core,true
6962.TW,奕力-KY,satellite,midlong_core,true
2340.TW,台亞,satellite,midlong_core,true
2464.TW,盟立,satellite,midlong_core,true
00679B.TWO,元大美債20年,etf,defensive_watch,true
00687B.TWO,國泰20年美債,etf,defensive_watch,true
00772B.TWO,中信高評級公司債,etf,defensive_watch,true
00773B.TWO,中信優先金融債,etf,defensive_watch,true
2412.TW,中華電,core,midlong_core,true
1560.TW,中砂,satellite,quality_value,true
3044.TW,健鼎,satellite,quality_value,true
3005.TW,神基,satellite,quality_value,true
2383.TW,台光電,satellite,quality_value,true
2345.TW,智邦,satellite,quality_value,true
3034.TW,聯詠,satellite,quality_value,true
6510.TWO,精測,satellite,quality_value,true
2376.TW,技嘉,satellite,quality_value,true
2313.TW,華通,satellite,quality_value,true
6161.TWO,捷波,satellite,quality_value,true
5225.TW,東科-KY,satellite,quality_value,true
6486.TWO,互動,satellite,quality_value,true
2347.TW,聯強,satellite,quality_value,true
3679.TW,新至陞,satellite,quality_value,true
3592.TW,瑞鼎,satellite,quality_value,true
4953.TWO,緯軟,satellite,quality_value,true
4995.TWO,晶達,satellite,quality_value,true
5288.TW,豐祥-KY,satellite,quality_value,true
3008.TW,大立光,satellite,quality_value,true
6525.TW,捷敏-KY,satellite,quality_value,true
8261.TW,富鼎,satellite,quality_value,true
2441.TW,超豐,satellite,quality_value,true
4967.TW,十銓,satellite,quality_value,true
6776.TW,展碁國際,satellite,quality_value,true
3168.TW,眾福科,satellite,quality_value,true
6201.TW,亞弘電,satellite,quality_value,true
5490.TWO,同亨,satellite,quality_value,true
2617.TW,台航,satellite,quality_value,true
6751.TWO,智聯服務,satellite,quality_value,true
7753.TWO,星亞,satellite,quality_value,true
2450.TW,神腦,satellite,quality_value,true
3088.TWO,艾訊,satellite,quality_value,true
4966.TWO,譜瑞-KY,satellite,quality_value,true
5203.TW,訊連,satellite,quality_value,true
5299.TWO,杰力,satellite,quality_value,true
3515.TW,華擎,satellite,quality_value,true
3213.TWO,茂訊,satellite,quality_value,true
3158.TWO,嘉實,satellite,quality_value,true
6996.TWO,力領科技,satellite,quality_value,true
3556.TWO,禾瑞亞,satellite,quality_value,true
6292.TWO,迅德,satellite,quality_value,true
3356.TW,奇偶,satellite,quality_value,true
6556.TWO,勝品,satellite,quality_value,true
6967.TWO,汎瑋材料,satellite,quality_value,true
